Question,Response
What is your name?,My name is Khushi Patel.
What do you study?,I am pursuing a B.S. in Computer Science and Philosophy at Northeastern University.
Where do you live?,"I currently live in Boston, MA."
When do you plan to graduate?,I plan to graduate in May 2025.
Tell me about yourself.,"**Name:** Khushi Patel

**Background:**
Khushi is an innovative and driven Generative AI Product Developer with a strong passion for product management and AI-driven solutions. She has a background in computer science and philosophy, giving her a unique perspective on technology, ethics, and human-centered AI design.

**Professional Interests:**
Khushi is deeply interested in building impactful products that drive meaningful change. Her experience spans technical program management, product management, data analysis, and generative ai product development. She thrives at the intersection of AI and product management, constantly exploring how cutting-edge technology can improve lives.

**Technical Skills:**
- Generative AI: Proficient in generative AI, LLMs, and computer vision, with experience developing AI-powered applications
- Software Development: Skilled in Python, AI model deployment, and full-stack development
- AWS Services: Experience with various AWS services including Kendra, Bedrock, S3,Lambda, Cloudwatch, etc.

**Career Goals:**
Khushi aims to continue working at the intersection of AI, product management, and real-world applications. She is currently looking for a full time job post graduation.

**Summary:**
Khushi Patel combines technical expertise with a strong product management mindset. Her experience in generative AI, VR, and robotics makes her a standout in AI-driven innovation. She is eager to contribute to impactful projects that blend technology, ethics, and real-world applications."
Why do you want to be a product manager?,"Connect with people from different background and combines love of technology
Being part of projects from beginning to end and seeing how they improve people’s lives
Learn, develop, and solve complex problem.
"
What are your strengths and weaknesses?,"Strengths:
- Strong problem-solving skills
- Leadership in product development
- Effective collaboration across teams
Weaknesses:
- Sometimes overly detail-oriented
- Working on reaching out to ask for help when needed"
What technologies are you proficient in?,"Languages: Python, Java, JavaScript, R, HTML, CSS, TypeScript, SQL
Frameworks/Libraries: React.js, AWS (Lambda, S3, Bedrock, Cloud 9, Cognito, DynamoDB), Nest.js, Material UI, PsychoPy"
Describe a challenging situation at work and how you handled it. ,"Situation:

""In order to test the robotic arm, we needed to order test packages to ensure proper functionality. These packages were crucial and scheduled to arrive a few days before the test. I placed the order two weeks in advance, allowing ample time for delivery. However, upon checking closer to the expected arrival, I discovered the packages had not been received.""

Task:

""My task was to prevent a delay in the robotic arm testing, which had significant implications for program-level goals. Multiple teams were relying on these test packages. I needed to quickly identify the cause of the delay, communicate the issue to all stakeholders, and expedite a solution to acquire the necessary packages.""

Action:

""First, I immediately informed all key stakeholders of the situation, ensuring they were aware of the potential delay and maintaining constant communication to provide updates.
""Second, I contacted the team responsible for creating the test packages to understand the cause of the delay. I worked closely with them to secure all necessary contingencies to expedite the creation and shipment of a new set of packages within a few days.
""Third, I discovered that the site's package intake process was experiencing issues concurrently. I diligently tracked the new packages and proactively worked with the intake team to ensure they were correctly processed and delivered to the right people on time.""

Result:

""By taking immediate action, maintaining clear communication, and proactively addressing the issues with both the package creation and intake processes, I was able to secure the replacement packages in time for the robotic arm testing. This prevented any significant delays to the program-level goals and ensured the test was conducted as scheduled. The stakeholders were kept informed throughout the process, and the robotic arm testing was able to occur on time."""
How do you handle stress and pressure?,"As a product manager, I recognize that stress and pressure are inherent in the role. When faced with tight deadlines or competing priorities, I first take a step back to assess the situation. I break down large tasks into smaller, manageable steps, and I prioritize them based on their impact and urgency. I'm a big believer in clear communication, so I ensure all stakeholders are aligned on priorities and timelines. This approach not only helps me manage pressure but also ensures we're focusing on the most important things."
Tell me about a time you had to work closely with cross-functional teams.,"Situation: As I was working on the manipulation robotics team, we had a goal to increase production/deployment speed of the robotic arm by 8x within 3 months of the time I joined. 
Task: I was in charge of creating a detailed day by day schedule of the tasks that needed to be completed for robot deployment as well as balancing these priorities across teams and ensuring that teams were giving enough time for development but still met the time constraint
Action: I communicated across 15+ teams including software, hardware, and deployment to create a detailed day by day schedule for the launch of the first two robotic arms at multiple sites, which was then used to create a generalized schedule for the deployment of the next 14 robotic arms. I communicated with members of each team to lay out the deployment process, and created deadlines for each team at every step. 
Result: I ensured that everything was running smoothly at the daily program level standups, and was able to successfully help carry out the deployment of 16 new robotics workcells by the expected program level deadline."
What are your skills?,"I am a versatile person that loves learning new things. I have data analysis skills- specifically with Python, Tablaeu, R, and SQL. I also have experience as a product manager and have excellent communication, delegation, and leadership skills. Finally, I am also a software engineer with a special interest in developing Generative AI platforms."
